Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,147
Upper Discriminator:,1055
Lower Discriminator:,12
Calibration Coefficients:,-1.264000000000003,1.008
Calibration Channels:,0,0
Calibration Energies:,0.0,0.0
Elapsed Real Time:,446.13
Elapsed Live Time:,445.59
Start Time:,March 07, 2019, 02:58:37
End Time:,March 07, 2019, 02:58:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-1.264000000000003,0
1,-0.2560000000000029,0
2,0.7519999999999971,0
3,1.7599999999999971,0
4,2.767999999999997,0
5,3.775999999999997,0
6,4.783999999999997,0
7,5.791999999999997,0
8,6.799999999999997,0
9,7.807999999999996,0
10,8.815999999999997,0
11,9.823999999999998,34
12,10.831999999999997,74
13,11.839999999999996,48
14,12.847999999999997,66
15,13.855999999999998,59
16,14.863999999999997,76
17,15.871999999999996,62
18,16.879999999999995,60
19,17.887999999999998,68
20,18.895999999999997,75
21,19.903999999999996,69
22,20.912,60
23,21.919999999999998,71
24,22.927999999999997,69
25,23.935999999999996,78
26,24.943999999999996,88
27,25.951999999999998,97
28,26.959999999999997,92
29,27.967999999999996,87
30,28.976,96
31,29.983999999999998,76
32,30.991999999999997,101
33,32.0,80
34,33.007999999999996,81
35,34.016,79
36,35.023999999999994,85
37,36.032,77
38,37.04,94
39,38.047999999999995,93
40,39.056,85
41,40.064,72
42,41.071999999999996,95
43,42.08,90
44,43.088,78
45,44.096,98
46,45.104,86
47,46.111999999999995,87
48,47.12,94
49,48.128,90
50,49.135999999999996,97
51,50.144,102
52,51.151999999999994,116
53,52.16,109
54,53.168,132
55,54.175999999999995,113
56,55.184,110
57,56.192,139
58,57.199999999999996,114
59,58.208,115
60,59.216,131
61,60.224,124
62,61.232,149
63,62.239999999999995,154
64,63.248,126
65,64.256,139
66,65.26400000000001,160
67,66.27199999999999,164
68,67.28,152
69,68.28800000000001,165
70,69.29599999999999,158
71,70.304,169
72,71.31199999999998,174
73,72.32,202
74,73.328,214
75,74.33599999999998,178
76,75.344,193
77,76.352,239
78,77.35999999999999,202
79,78.368,220
80,79.376,217
81,80.38399999999999,231
82,81.392,203
83,82.4,204
84,83.40799999999999,209
85,84.416,222
86,85.424,194
87,86.43199999999999,199
88,87.44,213
89,88.44800000000001,220
90,89.45599999999999,197
91,90.464,188
92,91.47200000000001,206
93,92.47999999999999,188
94,93.488,174
95,94.49600000000001,193
96,95.50399999999999,195
97,96.512,149
98,97.52000000000001,135
99,98.52799999999999,183
100,99.536,182
101,100.54400000000001,147
102,101.55199999999999,170
103,102.56,154
104,103.56799999999998,162
105,104.576,172
106,105.584,145
107,106.59199999999998,158
108,107.6,194
109,108.608,193
110,109.61599999999999,161
111,110.624,171
112,111.632,155
113,112.63999999999999,164
114,113.648,155
115,114.656,144
116,115.66399999999999,128
117,116.672,164
118,117.68,160
119,118.68799999999999,191
120,119.696,144
121,120.70400000000001,160
122,121.71199999999999,162
123,122.72,181
124,123.72800000000001,134
125,124.73599999999999,159
126,125.744,130
127,126.75199999999998,127
128,127.75999999999999,159
129,128.768,128
130,129.77599999999998,172
131,130.784,135
132,131.792,152
133,132.79999999999998,125
134,133.808,156
135,134.816,135
136,135.82399999999998,161
137,136.832,140
138,137.84,141
139,138.84799999999998,136
140,139.856,118
141,140.864,142
142,141.87199999999999,141
143,142.88,133
144,143.88799999999998,151
145,144.896,115
146,145.904,108
147,146.91199999999998,122
148,147.92,148
149,148.928,123
150,149.93599999999998,122
151,150.944,133
152,151.952,140
153,152.95999999999998,153
154,153.968,148
155,154.976,121
156,155.98399999999998,110
157,156.992,123
158,158.0,128
159,159.00799999999998,110
160,160.016,123
161,161.024,122
162,162.03199999999998,113
163,163.04,120
164,164.048,135
165,165.05599999999998,112
166,166.064,132
167,167.072,100
168,168.07999999999998,115
169,169.088,107
170,170.096,116
171,171.10399999999998,105
172,172.112,119
173,173.12,132
174,174.128,139
175,175.136,99
176,176.144,131
177,177.152,116
178,178.16,125
179,179.16799999999998,125
180,180.176,128
181,181.184,126
182,182.19199999999998,132
183,183.2,125
184,184.208,123
185,185.21599999999998,127
186,186.224,139
187,187.232,139
188,188.23999999999998,136
189,189.248,143
190,190.256,117
191,191.26399999999998,112
192,192.272,134
193,193.28,129
194,194.28799999999998,114
195,195.296,121
196,196.304,131
197,197.31199999999998,138
198,198.32,104
199,199.328,124
200,200.33599999999998,111
201,201.344,132
202,202.352,121
203,203.35999999999999,102
204,204.368,102
205,205.376,102
206,206.384,94
207,207.392,103
208,208.39999999999998,108
209,209.408,92
210,210.416,91
211,211.42399999999998,88
212,212.432,102
213,213.44,102
214,214.44799999999998,104
215,215.456,96
216,216.464,106
217,217.47199999999998,99
218,218.48,92
219,219.488,87
220,220.49599999999998,81
221,221.504,94
222,222.512,92
223,223.51999999999998,70
224,224.528,102
225,225.536,69
226,226.54399999999998,89
227,227.552,91
228,228.56,91
229,229.56799999999998,81
230,230.576,87
231,231.584,79
232,232.59199999999998,77
233,233.6,77
234,234.608,71
235,235.61599999999999,80
236,236.624,82
237,237.632,87
238,238.64,74
239,239.648,81
240,240.656,78
241,241.664,62
242,242.672,71
243,243.67999999999998,69
244,244.688,66
245,245.696,59
246,246.70399999999998,62
247,247.712,68
248,248.72,82
249,249.72799999999998,62
250,250.736,70
251,251.744,60
252,252.75199999999998,54
253,253.76,61
254,254.76799999999997,72
255,255.776,68
256,256.784,68
257,257.792,81
258,258.8,63
259,259.808,67
260,260.816,66
261,261.824,63
262,262.832,59
263,263.84,60
264,264.848,62
265,265.856,52
266,266.864,61
267,267.872,53
268,268.88,67
269,269.888,55
270,270.896,68
271,271.904,66
272,272.912,58
273,273.92,42
274,274.928,56
275,275.936,60
276,276.944,57
277,277.952,53
278,278.96,49
279,279.968,46
280,280.976,61
281,281.984,45
282,282.992,44
283,284.0,44
284,285.008,61
285,286.016,47
286,287.024,53
287,288.032,47
288,289.03999999999996,41
289,290.048,54
290,291.056,61
291,292.06399999999996,54
292,293.072,59
293,294.08,64
294,295.08799999999997,48
295,296.096,60
296,297.104,55
297,298.11199999999997,52
298,299.12,66
299,300.128,53
300,301.13599999999997,47
301,302.144,44
302,303.152,39
303,304.15999999999997,43
304,305.168,51
305,306.176,48
306,307.18399999999997,52
307,308.192,47
308,309.2,53
309,310.20799999999997,53
310,311.216,48
311,312.224,49
312,313.23199999999997,61
313,314.24,55
314,315.248,48
315,316.256,54
316,317.264,54
317,318.272,42
318,319.28,49
319,320.288,49
320,321.296,61
321,322.304,52
322,323.312,43
323,324.32,41
324,325.328,42
325,326.336,58
326,327.344,39
327,328.352,48
328,329.36,48
329,330.368,44
330,331.376,63
331,332.384,42
332,333.392,47
333,334.4,56
334,335.408,51
335,336.416,48
336,337.424,44
337,338.432,51
338,339.44,43
339,340.448,48
340,341.456,43
341,342.464,40
342,343.472,52
343,344.48,40
344,345.488,48
345,346.496,44
346,347.504,48
347,348.512,48
348,349.52,41
349,350.528,44
350,351.536,44
351,352.544,48
352,353.552,46
353,354.56,32
354,355.568,38
355,356.57599999999996,52
356,357.584,37
357,358.592,48
358,359.59999999999997,41
359,360.608,50
360,361.616,41
361,362.62399999999997,46
362,363.632,45
363,364.64,45
364,365.64799999999997,53
365,366.656,37
366,367.664,40
367,368.67199999999997,46
368,369.68,49
369,370.688,53
370,371.69599999999997,41
371,372.704,33
372,373.712,36
373,374.71999999999997,51
374,375.728,43
375,376.736,35
376,377.74399999999997,44
377,378.752,50
378,379.76,35
379,380.768,34
380,381.776,45
381,382.784,33
382,383.792,44
383,384.8,35
384,385.808,47
385,386.816,44
386,387.824,47
387,388.832,43
388,389.84,43
389,390.848,44
390,391.856,46
391,392.864,43
392,393.872,48
393,394.88,47
394,395.888,40
395,396.896,43
396,397.904,28
397,398.912,52
398,399.92,43
399,400.928,51
400,401.936,41
401,402.944,44
402,403.952,34
403,404.96,39
404,405.968,46
405,406.976,44
406,407.984,42
407,408.992,54
408,410.0,51
409,411.008,48
410,412.016,49
411,413.024,45
412,414.032,49
413,415.04,32
414,416.048,32
415,417.056,43
416,418.06399999999996,43
417,419.072,46
418,420.08,40
419,421.08799999999997,46
420,422.096,43
421,423.104,42
422,424.11199999999997,39
423,425.12,35
424,426.128,44
425,427.13599999999997,35
426,428.144,38
427,429.152,40
428,430.15999999999997,41
429,431.168,35
430,432.176,39
431,433.18399999999997,36
432,434.192,32
433,435.2,48
434,436.20799999999997,33
435,437.216,43
436,438.224,41
