Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,147
Upper Discriminator:,1055
Lower Discriminator:,12
Calibration Coefficients:,-1.264000000000003,1.008
Calibration Channels:,0,0
Calibration Energies:,0.0,0.0
Elapsed Real Time:,395.83
Elapsed Live Time:,393.71
Start Time:,March 07, 2019, 02:15:45
End Time:,March 07, 2019, 02:15:45
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-1.264000000000003,0
1,-0.2560000000000029,0
2,0.7519999999999971,0
3,1.7599999999999971,0
4,2.767999999999997,0
5,3.775999999999997,0
6,4.783999999999997,0
7,5.791999999999997,0
8,6.799999999999997,0
9,7.807999999999996,0
10,8.815999999999997,0
11,9.823999999999998,163
12,10.831999999999997,214
13,11.839999999999996,276
14,12.847999999999997,270
15,13.855999999999998,255
16,14.863999999999997,281
17,15.871999999999996,263
18,16.879999999999995,256
19,17.887999999999998,241
20,18.895999999999997,262
21,19.903999999999996,242
22,20.912,263
23,21.919999999999998,257
24,22.927999999999997,252
25,23.935999999999996,265
26,24.943999999999996,242
27,25.951999999999998,286
28,26.959999999999997,287
29,27.967999999999996,303
30,28.976,292
31,29.983999999999998,288
32,30.991999999999997,301
33,32.0,269
34,33.007999999999996,269
35,34.016,244
36,35.023999999999994,246
37,36.032,273
38,37.04,300
39,38.047999999999995,304
40,39.056,301
41,40.064,268
42,41.071999999999996,320
43,42.08,303
44,43.088,311
45,44.096,306
46,45.104,310
47,46.111999999999995,320
48,47.12,311
49,48.128,301
50,49.135999999999996,320
51,50.144,297
52,51.151999999999994,286
53,52.16,287
54,53.168,318
55,54.175999999999995,331
56,55.184,340
57,56.192,316
58,57.199999999999996,317
59,58.208,329
60,59.216,300
61,60.224,333
62,61.232,336
63,62.239999999999995,298
64,63.248,313
65,64.256,366
66,65.26400000000001,345
67,66.27199999999999,358
68,67.28,388
69,68.28800000000001,392
70,69.29599999999999,379
71,70.304,411
72,71.31199999999998,462
73,72.32,505
74,73.328,466
75,74.33599999999998,514
76,75.344,519
77,76.352,547
78,77.35999999999999,595
79,78.368,582
80,79.376,596
81,80.38399999999999,583
82,81.392,536
83,82.4,588
84,83.40799999999999,559
85,84.416,530
86,85.424,544
87,86.43199999999999,530
88,87.44,487
89,88.44800000000001,472
90,89.45599999999999,473
91,90.464,439
92,91.47200000000001,428
93,92.47999999999999,439
94,93.488,431
95,94.49600000000001,415
96,95.50399999999999,438
97,96.512,384
98,97.52000000000001,370
99,98.52799999999999,368
100,99.536,369
101,100.54400000000001,340
102,101.55199999999999,383
103,102.56,376
104,103.56799999999998,344
105,104.576,349
106,105.584,328
107,106.59199999999998,353
108,107.6,362
109,108.608,340
110,109.61599999999999,315
111,110.624,361
112,111.632,364
113,112.63999999999999,349
114,113.648,332
115,114.656,348
116,115.66399999999999,336
117,116.672,299
118,117.68,332
119,118.68799999999999,311
120,119.696,346
121,120.70400000000001,337
122,121.71199999999999,374
123,122.72,350
124,123.72800000000001,287
125,124.73599999999999,330
126,125.744,323
127,126.75199999999998,338
128,127.75999999999999,327
129,128.768,312
130,129.77599999999998,322
131,130.784,319
132,131.792,351
133,132.79999999999998,329
134,133.808,316
135,134.816,290
136,135.82399999999998,320
137,136.832,311
138,137.84,310
139,138.84799999999998,310
140,139.856,305
141,140.864,355
142,141.87199999999999,308
143,142.88,281
144,143.88799999999998,344
145,144.896,325
146,145.904,293
147,146.91199999999998,324
148,147.92,318
149,148.928,313
150,149.93599999999998,341
151,150.944,340
152,151.952,321
153,152.95999999999998,315
154,153.968,283
155,154.976,321
156,155.98399999999998,305
157,156.992,318
158,158.0,317
159,159.00799999999998,307
160,160.016,306
161,161.024,303
162,162.03199999999998,330
163,163.04,303
164,164.048,322
165,165.05599999999998,301
166,166.064,304
167,167.072,320
168,168.07999999999998,336
169,169.088,339
170,170.096,308
171,171.10399999999998,318
172,172.112,335
173,173.12,320
174,174.128,311
175,175.136,308
176,176.144,327
177,177.152,310
178,178.16,364
179,179.16799999999998,304
180,180.176,344
181,181.184,355
182,182.19199999999998,370
183,183.2,310
184,184.208,336
185,185.21599999999998,360
186,186.224,372
187,187.232,334
188,188.23999999999998,381
189,189.248,363
190,190.256,361
191,191.26399999999998,353
192,192.272,358
193,193.28,361
194,194.28799999999998,347
195,195.296,348
196,196.304,335
197,197.31199999999998,360
198,198.32,355
199,199.328,327
200,200.33599999999998,324
201,201.344,350
202,202.352,362
203,203.35999999999999,327
204,204.368,328
205,205.376,332
206,206.384,320
207,207.392,334
208,208.39999999999998,304
209,209.408,343
210,210.416,304
211,211.42399999999998,347
212,212.432,290
213,213.44,274
214,214.44799999999998,308
215,215.456,318
216,216.464,282
217,217.47199999999998,315
218,218.48,318
219,219.488,259
220,220.49599999999998,274
221,221.504,307
222,222.512,262
223,223.51999999999998,278
224,224.528,295
225,225.536,298
226,226.54399999999998,298
227,227.552,251
228,228.56,300
229,229.56799999999998,306
230,230.576,280
231,231.584,258
232,232.59199999999998,315
233,233.6,266
234,234.608,260
235,235.61599999999999,290
236,236.624,275
237,237.632,316
238,238.64,247
239,239.648,288
240,240.656,250
241,241.664,256
242,242.672,274
243,243.67999999999998,272
244,244.688,281
245,245.696,254
246,246.70399999999998,289
247,247.712,285
248,248.72,281
249,249.72799999999998,266
250,250.736,280
251,251.744,258
252,252.75199999999998,283
253,253.76,269
254,254.76799999999997,232
255,255.776,284
256,256.784,272
257,257.792,247
258,258.8,242
259,259.808,254
260,260.816,243
261,261.824,275
262,262.832,244
263,263.84,249
264,264.848,259
265,265.856,239
266,266.864,235
267,267.872,272
268,268.88,246
269,269.888,245
270,270.896,235
271,271.904,230
272,272.912,246
273,273.92,236
274,274.928,269
275,275.936,278
276,276.944,238
277,277.952,285
278,278.96,257
279,279.968,225
280,280.976,260
281,281.984,242
282,282.992,255
283,284.0,244
284,285.008,223
285,286.016,258
286,287.024,260
287,288.032,220
288,289.03999999999996,235
289,290.048,233
290,291.056,223
291,292.06399999999996,277
292,293.072,256
293,294.08,251
294,295.08799999999997,245
295,296.096,238
296,297.104,246
297,298.11199999999997,217
298,299.12,209
299,300.128,250
300,301.13599999999997,234
301,302.144,235
302,303.152,243
303,304.15999999999997,257
304,305.168,282
305,306.176,240
306,307.18399999999997,223
307,308.192,259
308,309.2,218
309,310.20799999999997,223
310,311.216,225
311,312.224,250
312,313.23199999999997,246
313,314.24,231
314,315.248,217
315,316.256,251
316,317.264,273
317,318.272,225
318,319.28,243
319,320.288,208
320,321.296,242
321,322.304,250
322,323.312,236
323,324.32,261
324,325.328,227
325,326.336,226
326,327.344,213
327,328.352,256
328,329.36,227
329,330.368,221
330,331.376,231
331,332.384,264
332,333.392,231
333,334.4,235
334,335.408,225
335,336.416,216
336,337.424,234
337,338.432,242
338,339.44,248
339,340.448,234
340,341.456,230
341,342.464,222
342,343.472,202
343,344.48,264
344,345.488,241
345,346.496,239
346,347.504,248
347,348.512,247
348,349.52,235
349,350.528,213
350,351.536,257
351,352.544,234
352,353.552,247
353,354.56,233
354,355.568,205
355,356.57599999999996,212
356,357.584,248
357,358.592,235
358,359.59999999999997,231
359,360.608,243
360,361.616,246
361,362.62399999999997,227
362,363.632,214
363,364.64,221
364,365.64799999999997,238
365,366.656,283
366,367.664,220
367,368.67199999999997,227
368,369.68,200
369,370.688,251
370,371.69599999999997,210
371,372.704,244
372,373.712,252
373,374.71999999999997,246
374,375.728,239
375,376.736,201
376,377.74399999999997,213
377,378.752,223
378,379.76,249
379,380.768,235
380,381.776,204
381,382.784,226
382,383.792,252
383,384.8,241
384,385.808,219
385,386.816,241
386,387.824,192
387,388.832,225
388,389.84,198
389,390.848,250
390,391.856,233
391,392.864,220
392,393.872,193
393,394.88,200
394,395.888,225
395,396.896,227
396,397.904,220
397,398.912,244
398,399.92,210
399,400.928,238
400,401.936,228
401,402.944,234
402,403.952,225
403,404.96,226
404,405.968,204
405,406.976,235
406,407.984,239
407,408.992,209
408,410.0,221
409,411.008,206
410,412.016,231
411,413.024,254
412,414.032,222
413,415.04,253
414,416.048,220
415,417.056,241
416,418.06399999999996,210
417,419.072,222
418,420.08,246
419,421.08799999999997,227
420,422.096,234
421,423.104,228
422,424.11199999999997,238
423,425.12,222
424,426.128,256
425,427.13599999999997,251
426,428.144,225
427,429.152,248
428,430.15999999999997,217
429,431.168,245
430,432.176,242
431,433.18399999999997,260
432,434.192,201
433,435.2,242
434,436.20799999999997,245
435,437.216,231
436,438.224,223
