Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,147
Upper Discriminator:,1055
Lower Discriminator:,12
Calibration Coefficients:,-1.264000000000003,1.008
Calibration Channels:,0,0
Calibration Energies:,0.0,0.0
Elapsed Real Time:,231.89
Elapsed Live Time:,231.42
Start Time:,March 07, 2019, 02:11:37
End Time:,March 07, 2019, 02:10:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-1.264000000000003,0
1,-0.2560000000000029,0
2,0.7519999999999971,0
3,1.7599999999999971,0
4,2.767999999999997,0
5,3.775999999999997,0
6,4.783999999999997,0
7,5.791999999999997,0
8,6.799999999999997,0
9,7.807999999999996,0
10,8.815999999999997,0
11,9.823999999999998,32
12,10.831999999999997,45
13,11.839999999999996,54
14,12.847999999999997,61
15,13.855999999999998,48
16,14.863999999999997,58
17,15.871999999999996,58
18,16.879999999999995,48
19,17.887999999999998,43
20,18.895999999999997,60
21,19.903999999999996,39
22,20.912,55
23,21.919999999999998,61
24,22.927999999999997,69
25,23.935999999999996,71
26,24.943999999999996,62
27,25.951999999999998,71
28,26.959999999999997,70
29,27.967999999999996,60
30,28.976,73
31,29.983999999999998,72
32,30.991999999999997,64
33,32.0,61
34,33.007999999999996,71
35,34.016,56
36,35.023999999999994,69
37,36.032,65
38,37.04,66
39,38.047999999999995,66
40,39.056,82
41,40.064,70
42,41.071999999999996,55
43,42.08,64
44,43.088,86
45,44.096,55
46,45.104,71
47,46.111999999999995,91
48,47.12,77
49,48.128,59
50,49.135999999999996,72
51,50.144,73
52,51.151999999999994,78
53,52.16,80
54,53.168,80
55,54.175999999999995,95
56,55.184,89
57,56.192,98
58,57.199999999999996,93
59,58.208,107
60,59.216,103
61,60.224,121
62,61.232,111
63,62.239999999999995,99
64,63.248,91
65,64.256,114
66,65.26400000000001,103
67,66.27199999999999,127
68,67.28,135
69,68.28800000000001,140
70,69.29599999999999,134
71,70.304,127
72,71.31199999999998,142
73,72.32,149
74,73.328,132
75,74.33599999999998,129
76,75.344,148
77,76.352,121
78,77.35999999999999,149
79,78.368,150
80,79.376,157
81,80.38399999999999,169
82,81.392,156
83,82.4,149
84,83.40799999999999,128
85,84.416,151
86,85.424,143
87,86.43199999999999,152
88,87.44,186
89,88.44800000000001,176
90,89.45599999999999,157
91,90.464,147
92,91.47200000000001,155
93,92.47999999999999,158
94,93.488,161
95,94.49600000000001,171
96,95.50399999999999,158
97,96.512,169
98,97.52000000000001,174
99,98.52799999999999,145
100,99.536,162
101,100.54400000000001,171
102,101.55199999999999,162
103,102.56,160
104,103.56799999999998,137
105,104.576,173
106,105.584,146
107,106.59199999999998,189
108,107.6,160
109,108.608,145
110,109.61599999999999,142
111,110.624,184
112,111.632,175
113,112.63999999999999,160
114,113.648,179
115,114.656,145
116,115.66399999999999,165
117,116.672,155
118,117.68,155
119,118.68799999999999,159
120,119.696,170
121,120.70400000000001,174
122,121.71199999999999,154
123,122.72,164
124,123.72800000000001,160
125,124.73599999999999,175
126,125.744,191
127,126.75199999999998,154
128,127.75999999999999,160
129,128.768,159
130,129.77599999999998,138
131,130.784,157
132,131.792,133
133,132.79999999999998,165
134,133.808,165
135,134.816,155
136,135.82399999999998,155
137,136.832,147
138,137.84,149
139,138.84799999999998,144
140,139.856,145
141,140.864,142
142,141.87199999999999,153
143,142.88,149
144,143.88799999999998,151
145,144.896,129
146,145.904,147
147,146.91199999999998,165
148,147.92,155
149,148.928,127
150,149.93599999999998,136
151,150.944,141
152,151.952,152
153,152.95999999999998,163
154,153.968,136
155,154.976,135
156,155.98399999999998,147
157,156.992,120
158,158.0,115
159,159.00799999999998,126
160,160.016,137
161,161.024,127
162,162.03199999999998,117
163,163.04,129
164,164.048,140
165,165.05599999999998,121
166,166.064,120
167,167.072,128
168,168.07999999999998,106
169,169.088,121
170,170.096,111
171,171.10399999999998,116
172,172.112,126
173,173.12,145
174,174.128,130
175,175.136,126
176,176.144,104
177,177.152,115
178,178.16,111
179,179.16799999999998,133
180,180.176,117
181,181.184,118
182,182.19199999999998,117
183,183.2,130
184,184.208,133
185,185.21599999999998,125
186,186.224,117
187,187.232,120
188,188.23999999999998,119
189,189.248,110
190,190.256,109
191,191.26399999999998,106
192,192.272,121
193,193.28,124
194,194.28799999999998,119
195,195.296,128
196,196.304,106
197,197.31199999999998,123
198,198.32,104
199,199.328,119
200,200.33599999999998,122
201,201.344,109
202,202.352,124
203,203.35999999999999,112
204,204.368,91
205,205.376,113
206,206.384,134
207,207.392,108
208,208.39999999999998,88
209,209.408,99
210,210.416,114
211,211.42399999999998,103
212,212.432,112
213,213.44,87
214,214.44799999999998,89
215,215.456,80
216,216.464,78
217,217.47199999999998,94
218,218.48,80
219,219.488,103
220,220.49599999999998,77
221,221.504,93
222,222.512,93
223,223.51999999999998,96
224,224.528,73
225,225.536,74
226,226.54399999999998,88
227,227.552,94
228,228.56,77
229,229.56799999999998,72
230,230.576,83
231,231.584,93
232,232.59199999999998,89
233,233.6,80
234,234.608,77
235,235.61599999999999,77
236,236.624,70
237,237.632,71
238,238.64,82
239,239.648,78
240,240.656,71
241,241.664,77
242,242.672,67
243,243.67999999999998,79
244,244.688,80
245,245.696,74
246,246.70399999999998,73
247,247.712,51
248,248.72,67
249,249.72799999999998,77
250,250.736,57
251,251.744,66
252,252.75199999999998,59
253,253.76,65
254,254.76799999999997,76
255,255.776,67
256,256.784,65
257,257.792,65
258,258.8,74
259,259.808,53
260,260.816,62
261,261.824,59
262,262.832,57
263,263.84,53
264,264.848,61
265,265.856,74
266,266.864,57
267,267.872,61
268,268.88,48
269,269.888,58
270,270.896,60
271,271.904,57
272,272.912,57
273,273.92,60
274,274.928,51
275,275.936,59
276,276.944,57
277,277.952,46
278,278.96,45
279,279.968,49
280,280.976,59
281,281.984,44
282,282.992,55
283,284.0,52
284,285.008,56
285,286.016,54
286,287.024,51
287,288.032,60
288,289.03999999999996,49
289,290.048,48
290,291.056,41
291,292.06399999999996,44
292,293.072,53
293,294.08,47
294,295.08799999999997,64
295,296.096,61
296,297.104,60
297,298.11199999999997,44
298,299.12,45
299,300.128,47
300,301.13599999999997,55
301,302.144,51
302,303.152,54
303,304.15999999999997,45
304,305.168,47
305,306.176,65
306,307.18399999999997,52
307,308.192,45
308,309.2,53
309,310.20799999999997,56
310,311.216,44
311,312.224,48
312,313.23199999999997,42
313,314.24,39
314,315.248,46
315,316.256,47
316,317.264,46
317,318.272,43
318,319.28,46
319,320.288,50
320,321.296,43
321,322.304,33
322,323.312,39
323,324.32,29
324,325.328,52
325,326.336,35
326,327.344,50
327,328.352,49
328,329.36,46
329,330.368,57
330,331.376,46
331,332.384,43
332,333.392,45
333,334.4,51
334,335.408,42
335,336.416,47
336,337.424,40
337,338.432,42
338,339.44,57
339,340.448,33
340,341.456,42
341,342.464,46
342,343.472,48
343,344.48,28
344,345.488,48
345,346.496,45
346,347.504,46
347,348.512,34
348,349.52,34
349,350.528,42
350,351.536,37
351,352.544,43
352,353.552,38
353,354.56,38
354,355.568,41
355,356.57599999999996,44
356,357.584,58
357,358.592,39
358,359.59999999999997,46
359,360.608,27
360,361.616,40
361,362.62399999999997,43
362,363.632,34
363,364.64,44
364,365.64799999999997,50
365,366.656,28
366,367.664,40
367,368.67199999999997,38
368,369.68,40
369,370.688,42
370,371.69599999999997,42
371,372.704,37
372,373.712,41
373,374.71999999999997,33
374,375.728,38
375,376.736,34
376,377.74399999999997,38
377,378.752,24
378,379.76,31
379,380.768,39
380,381.776,36
381,382.784,40
382,383.792,46
383,384.8,28
384,385.808,35
385,386.816,39
386,387.824,43
387,388.832,45
388,389.84,38
389,390.848,32
390,391.856,41
391,392.864,34
392,393.872,61
393,394.88,42
394,395.888,28
395,396.896,37
396,397.904,31
397,398.912,46
398,399.92,28
399,400.928,46
400,401.936,40
401,402.944,36
402,403.952,39
403,404.96,33
404,405.968,29
405,406.976,49
406,407.984,31
407,408.992,30
408,410.0,32
409,411.008,28
410,412.016,35
411,413.024,38
412,414.032,34
413,415.04,33
414,416.048,29
415,417.056,36
416,418.06399999999996,24
417,419.072,33
418,420.08,37
419,421.08799999999997,33
420,422.096,33
421,423.104,39
422,424.11199999999997,39
423,425.12,33
424,426.128,31
425,427.13599999999997,36
426,428.144,31
427,429.152,37
428,430.15999999999997,47
429,431.168,29
430,432.176,31
431,433.18399999999997,25
432,434.192,27
433,435.2,31
434,436.20799999999997,28
435,437.216,26
436,438.224,29
