Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,147
Upper Discriminator:,1055
Lower Discriminator:,12
Calibration Coefficients:,-1.264000000000003,1.008
Calibration Channels:,0,0
Calibration Energies:,0.0,0.0
Elapsed Real Time:,505.55
Elapsed Live Time:,505.19
Start Time:,March 07, 2019, 02:58:37
End Time:,March 07, 2019, 02:58:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-1.264000000000003,0
1,-0.2560000000000029,0
2,0.7519999999999971,0
3,1.7599999999999971,0
4,2.767999999999997,0
5,3.775999999999997,0
6,4.783999999999997,0
7,5.791999999999997,0
8,6.799999999999997,0
9,7.807999999999996,0
10,8.815999999999997,0
11,9.823999999999998,20
12,10.831999999999997,40
13,11.839999999999996,35
14,12.847999999999997,38
15,13.855999999999998,39
16,14.863999999999997,43
17,15.871999999999996,44
18,16.879999999999995,43
19,17.887999999999998,43
20,18.895999999999997,42
21,19.903999999999996,57
22,20.912,55
23,21.919999999999998,47
24,22.927999999999997,57
25,23.935999999999996,79
26,24.943999999999996,64
27,25.951999999999998,89
28,26.959999999999997,65
29,27.967999999999996,63
30,28.976,69
31,29.983999999999998,67
32,30.991999999999997,49
33,32.0,51
34,33.007999999999996,56
35,34.016,39
36,35.023999999999994,56
37,36.032,62
38,37.04,49
39,38.047999999999995,77
40,39.056,63
41,40.064,62
42,41.071999999999996,51
43,42.08,57
44,43.088,60
45,44.096,65
46,45.104,80
47,46.111999999999995,81
48,47.12,80
49,48.128,74
50,49.135999999999996,81
51,50.144,80
52,51.151999999999994,91
53,52.16,88
54,53.168,94
55,54.175999999999995,106
56,55.184,100
57,56.192,116
58,57.199999999999996,108
59,58.208,126
60,59.216,103
61,60.224,91
62,61.232,101
63,62.239999999999995,110
64,63.248,124
65,64.256,144
66,65.26400000000001,128
67,66.27199999999999,142
68,67.28,152
69,68.28800000000001,143
70,69.29599999999999,137
71,70.304,170
72,71.31199999999998,162
73,72.32,152
74,73.328,193
75,74.33599999999998,200
76,75.344,150
77,76.352,204
78,77.35999999999999,197
79,78.368,186
80,79.376,214
81,80.38399999999999,179
82,81.392,172
83,82.4,182
84,83.40799999999999,157
85,84.416,206
86,85.424,184
87,86.43199999999999,157
88,87.44,158
89,88.44800000000001,151
90,89.45599999999999,187
91,90.464,169
92,91.47200000000001,182
93,92.47999999999999,175
94,93.488,174
95,94.49600000000001,178
96,95.50399999999999,157
97,96.512,153
98,97.52000000000001,146
99,98.52799999999999,165
100,99.536,162
101,100.54400000000001,133
102,101.55199999999999,157
103,102.56,165
104,103.56799999999998,156
105,104.576,163
106,105.584,163
107,106.59199999999998,141
108,107.6,154
109,108.608,158
110,109.61599999999999,171
111,110.624,159
112,111.632,133
113,112.63999999999999,162
114,113.648,153
115,114.656,146
116,115.66399999999999,158
117,116.672,151
118,117.68,163
119,118.68799999999999,150
120,119.696,162
121,120.70400000000001,137
122,121.71199999999999,119
123,122.72,150
124,123.72800000000001,143
125,124.73599999999999,162
126,125.744,137
127,126.75199999999998,134
128,127.75999999999999,134
129,128.768,120
130,129.77599999999998,149
131,130.784,135
132,131.792,126
133,132.79999999999998,125
134,133.808,134
135,134.816,118
136,135.82399999999998,146
137,136.832,113
138,137.84,128
139,138.84799999999998,123
140,139.856,122
141,140.864,122
142,141.87199999999999,147
143,142.88,118
144,143.88799999999998,128
145,144.896,130
146,145.904,119
147,146.91199999999998,122
148,147.92,127
149,148.928,108
150,149.93599999999998,127
151,150.944,106
152,151.952,107
153,152.95999999999998,121
154,153.968,115
155,154.976,126
156,155.98399999999998,101
157,156.992,107
158,158.0,113
159,159.00799999999998,115
160,160.016,100
161,161.024,104
162,162.03199999999998,86
163,163.04,107
164,164.048,115
165,165.05599999999998,100
166,166.064,101
167,167.072,125
168,168.07999999999998,107
169,169.088,103
170,170.096,102
171,171.10399999999998,108
172,172.112,93
173,173.12,86
174,174.128,103
175,175.136,97
176,176.144,82
177,177.152,98
178,178.16,96
179,179.16799999999998,96
180,180.176,93
181,181.184,105
182,182.19199999999998,109
183,183.2,122
184,184.208,96
185,185.21599999999998,122
186,186.224,88
187,187.232,102
188,188.23999999999998,87
189,189.248,117
190,190.256,92
191,191.26399999999998,90
192,192.272,100
193,193.28,105
194,194.28799999999998,111
195,195.296,83
196,196.304,103
197,197.31199999999998,88
198,198.32,99
199,199.328,100
200,200.33599999999998,101
201,201.344,90
202,202.352,77
203,203.35999999999999,78
204,204.368,82
205,205.376,97
206,206.384,81
207,207.392,77
208,208.39999999999998,77
209,209.408,76
210,210.416,77
211,211.42399999999998,78
212,212.432,72
213,213.44,71
214,214.44799999999998,67
215,215.456,66
216,216.464,61
217,217.47199999999998,67
218,218.48,70
219,219.488,53
220,220.49599999999998,75
221,221.504,72
222,222.512,54
223,223.51999999999998,67
224,224.528,56
225,225.536,54
226,226.54399999999998,60
227,227.552,57
228,228.56,65
229,229.56799999999998,50
230,230.576,34
231,231.584,60
232,232.59199999999998,46
233,233.6,52
234,234.608,49
235,235.61599999999999,55
236,236.624,47
237,237.632,55
238,238.64,55
239,239.648,65
240,240.656,48
241,241.664,44
242,242.672,44
243,243.67999999999998,53
244,244.688,45
245,245.696,51
246,246.70399999999998,49
247,247.712,46
248,248.72,63
249,249.72799999999998,49
250,250.736,43
251,251.744,56
252,252.75199999999998,44
253,253.76,44
254,254.76799999999997,51
255,255.776,40
256,256.784,41
257,257.792,37
258,258.8,48
259,259.808,44
260,260.816,38
261,261.824,53
262,262.832,43
263,263.84,48
264,264.848,51
265,265.856,40
266,266.864,40
267,267.872,29
268,268.88,36
269,269.888,35
270,270.896,36
271,271.904,40
272,272.912,40
273,273.92,35
274,274.928,27
275,275.936,23
276,276.944,36
277,277.952,21
278,278.96,38
279,279.968,34
280,280.976,38
281,281.984,30
282,282.992,29
283,284.0,32
284,285.008,35
285,286.016,32
286,287.024,29
287,288.032,23
288,289.03999999999996,31
289,290.048,36
290,291.056,26
291,292.06399999999996,38
292,293.072,42
293,294.08,30
294,295.08799999999997,28
295,296.096,24
296,297.104,26
297,298.11199999999997,26
298,299.12,25
299,300.128,27
300,301.13599999999997,29
301,302.144,19
302,303.152,22
303,304.15999999999997,21
304,305.168,31
305,306.176,17
306,307.18399999999997,35
307,308.192,20
308,309.2,25
309,310.20799999999997,27
310,311.216,19
311,312.224,21
312,313.23199999999997,26
313,314.24,27
314,315.248,37
315,316.256,25
316,317.264,29
317,318.272,28
318,319.28,22
319,320.288,32
320,321.296,29
321,322.304,20
322,323.312,25
323,324.32,21
324,325.328,18
325,326.336,19
326,327.344,18
327,328.352,21
328,329.36,32
329,330.368,20
330,331.376,23
331,332.384,17
332,333.392,28
333,334.4,29
334,335.408,21
335,336.416,24
336,337.424,10
337,338.432,16
338,339.44,24
339,340.448,21
340,341.456,25
341,342.464,35
342,343.472,25
343,344.48,27
344,345.488,20
345,346.496,29
346,347.504,18
347,348.512,17
348,349.52,24
349,350.528,17
350,351.536,24
351,352.544,26
352,353.552,17
353,354.56,21
354,355.568,15
355,356.57599999999996,14
356,357.584,22
357,358.592,26
358,359.59999999999997,21
359,360.608,19
360,361.616,21
361,362.62399999999997,23
362,363.632,22
363,364.64,20
364,365.64799999999997,22
365,366.656,23
366,367.664,20
367,368.67199999999997,23
368,369.68,18
369,370.688,21
370,371.69599999999997,22
371,372.704,15
372,373.712,17
373,374.71999999999997,17
374,375.728,18
375,376.736,22
376,377.74399999999997,16
377,378.752,16
378,379.76,12
379,380.768,20
380,381.776,27
381,382.784,12
382,383.792,21
383,384.8,15
384,385.808,20
385,386.816,16
386,387.824,10
387,388.832,17
388,389.84,14
389,390.848,13
390,391.856,17
391,392.864,13
392,393.872,21
393,394.88,17
394,395.888,18
395,396.896,12
396,397.904,13
397,398.912,16
398,399.92,8
399,400.928,22
400,401.936,17
401,402.944,17
402,403.952,16
403,404.96,19
404,405.968,14
405,406.976,12
406,407.984,17
407,408.992,11
408,410.0,10
409,411.008,17
410,412.016,14
411,413.024,19
412,414.032,14
413,415.04,22
414,416.048,14
415,417.056,20
416,418.06399999999996,12
417,419.072,14
418,420.08,15
419,421.08799999999997,20
420,422.096,12
421,423.104,22
422,424.11199999999997,8
423,425.12,9
424,426.128,10
425,427.13599999999997,19
426,428.144,14
427,429.152,17
428,430.15999999999997,13
429,431.168,17
430,432.176,8
431,433.18399999999997,12
432,434.192,18
433,435.2,15
434,436.20799999999997,16
435,437.216,18
436,438.224,15
