Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,147
Upper Discriminator:,1055
Lower Discriminator:,12
Calibration Coefficients:,-1.264000000000003,1.008
Calibration Channels:,0,0
Calibration Energies:,0.0,0.0
Elapsed Real Time:,253.92
Elapsed Live Time:,253.48
Start Time:,March 07, 2019, 02:58:37
End Time:,March 07, 2019, 02:58:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-1.264000000000003,0
1,-0.2560000000000029,0
2,0.7519999999999971,0
3,1.7599999999999971,0
4,2.767999999999997,0
5,3.775999999999997,0
6,4.783999999999997,0
7,5.791999999999997,0
8,6.799999999999997,0
9,7.807999999999996,0
10,8.815999999999997,0
11,9.823999999999998,42
12,10.831999999999997,48
13,11.839999999999996,47
14,12.847999999999997,51
15,13.855999999999998,68
16,14.863999999999997,55
17,15.871999999999996,59
18,16.879999999999995,51
19,17.887999999999998,58
20,18.895999999999997,59
21,19.903999999999996,48
22,20.912,44
23,21.919999999999998,57
24,22.927999999999997,54
25,23.935999999999996,73
26,24.943999999999996,57
27,25.951999999999998,71
28,26.959999999999997,64
29,27.967999999999996,54
30,28.976,66
31,29.983999999999998,64
32,30.991999999999997,53
33,32.0,74
34,33.007999999999996,48
35,34.016,60
36,35.023999999999994,79
37,36.032,60
38,37.04,68
39,38.047999999999995,54
40,39.056,59
41,40.064,73
42,41.071999999999996,65
43,42.08,72
44,43.088,68
45,44.096,60
46,45.104,89
47,46.111999999999995,74
48,47.12,52
49,48.128,74
50,49.135999999999996,76
51,50.144,70
52,51.151999999999994,79
53,52.16,81
54,53.168,64
55,54.175999999999995,96
56,55.184,99
57,56.192,91
58,57.199999999999996,97
59,58.208,96
60,59.216,79
61,60.224,96
62,61.232,88
63,62.239999999999995,104
64,63.248,87
65,64.256,114
66,65.26400000000001,96
67,66.27199999999999,97
68,67.28,108
69,68.28800000000001,116
70,69.29599999999999,119
71,70.304,115
72,71.31199999999998,149
73,72.32,130
74,73.328,143
75,74.33599999999998,135
76,75.344,139
77,76.352,141
78,77.35999999999999,147
79,78.368,169
80,79.376,159
81,80.38399999999999,152
82,81.392,168
83,82.4,165
84,83.40799999999999,137
85,84.416,108
86,85.424,133
87,86.43199999999999,139
88,87.44,124
89,88.44800000000001,111
90,89.45599999999999,151
91,90.464,139
92,91.47200000000001,128
93,92.47999999999999,123
94,93.488,138
95,94.49600000000001,117
96,95.50399999999999,100
97,96.512,112
98,97.52000000000001,113
99,98.52799999999999,124
100,99.536,110
101,100.54400000000001,108
102,101.55199999999999,121
103,102.56,103
104,103.56799999999998,131
105,104.576,115
106,105.584,119
107,106.59199999999998,108
108,107.6,84
109,108.608,107
110,109.61599999999999,106
111,110.624,101
112,111.632,110
113,112.63999999999999,105
114,113.648,78
115,114.656,102
116,115.66399999999999,115
117,116.672,103
118,117.68,118
119,118.68799999999999,119
120,119.696,107
121,120.70400000000001,83
122,121.71199999999999,101
123,122.72,97
124,123.72800000000001,105
125,124.73599999999999,92
126,125.744,110
127,126.75199999999998,99
128,127.75999999999999,112
129,128.768,100
130,129.77599999999998,119
131,130.784,95
132,131.792,91
133,132.79999999999998,108
134,133.808,95
135,134.816,112
136,135.82399999999998,109
137,136.832,76
138,137.84,112
139,138.84799999999998,109
140,139.856,98
141,140.864,107
142,141.87199999999999,86
143,142.88,99
144,143.88799999999998,88
145,144.896,95
146,145.904,83
147,146.91199999999998,105
148,147.92,89
149,148.928,104
150,149.93599999999998,88
151,150.944,95
152,151.952,84
153,152.95999999999998,77
154,153.968,89
155,154.976,82
156,155.98399999999998,76
157,156.992,68
158,158.0,86
159,159.00799999999998,103
160,160.016,91
161,161.024,75
162,162.03199999999998,80
163,163.04,77
164,164.048,78
165,165.05599999999998,74
166,166.064,70
167,167.072,72
168,168.07999999999998,89
169,169.088,80
170,170.096,89
171,171.10399999999998,76
172,172.112,59
173,173.12,80
174,174.128,79
175,175.136,89
176,176.144,97
177,177.152,98
178,178.16,83
179,179.16799999999998,94
180,180.176,86
181,181.184,90
182,182.19199999999998,82
183,183.2,83
184,184.208,77
185,185.21599999999998,100
186,186.224,90
187,187.232,96
188,188.23999999999998,77
189,189.248,100
190,190.256,84
191,191.26399999999998,104
192,192.272,102
193,193.28,91
194,194.28799999999998,91
195,195.296,97
196,196.304,73
197,197.31199999999998,97
198,198.32,95
199,199.328,92
200,200.33599999999998,80
201,201.344,77
202,202.352,73
203,203.35999999999999,86
204,204.368,67
205,205.376,68
206,206.384,81
207,207.392,82
208,208.39999999999998,72
209,209.408,64
210,210.416,80
211,211.42399999999998,72
212,212.432,70
213,213.44,60
214,214.44799999999998,63
215,215.456,79
216,216.464,66
217,217.47199999999998,66
218,218.48,74
219,219.488,77
220,220.49599999999998,70
221,221.504,60
222,222.512,54
223,223.51999999999998,54
224,224.528,72
225,225.536,74
226,226.54399999999998,67
227,227.552,69
228,228.56,71
229,229.56799999999998,63
230,230.576,63
231,231.584,59
232,232.59199999999998,72
233,233.6,50
234,234.608,56
235,235.61599999999999,56
236,236.624,61
237,237.632,66
238,238.64,59
239,239.648,68
240,240.656,58
241,241.664,55
242,242.672,46
243,243.67999999999998,55
244,244.688,46
245,245.696,59
246,246.70399999999998,60
247,247.712,68
248,248.72,48
249,249.72799999999998,35
250,250.736,52
251,251.744,46
252,252.75199999999998,47
253,253.76,52
254,254.76799999999997,62
255,255.776,64
256,256.784,53
257,257.792,49
258,258.8,66
259,259.808,54
260,260.816,52
261,261.824,40
262,262.832,38
263,263.84,52
264,264.848,46
265,265.856,55
266,266.864,40
267,267.872,40
268,268.88,45
269,269.888,52
270,270.896,46
271,271.904,44
272,272.912,43
273,273.92,38
274,274.928,49
275,275.936,51
276,276.944,33
277,277.952,52
278,278.96,51
279,279.968,55
280,280.976,65
281,281.984,50
282,282.992,55
283,284.0,39
284,285.008,39
285,286.016,42
286,287.024,53
287,288.032,41
288,289.03999999999996,39
289,290.048,34
290,291.056,53
291,292.06399999999996,50
292,293.072,33
293,294.08,47
294,295.08799999999997,46
295,296.096,42
296,297.104,39
297,298.11199999999997,36
298,299.12,50
299,300.128,45
300,301.13599999999997,48
301,302.144,54
302,303.152,64
303,304.15999999999997,47
304,305.168,44
305,306.176,44
306,307.18399999999997,49
307,308.192,40
308,309.2,44
309,310.20799999999997,38
310,311.216,43
311,312.224,49
312,313.23199999999997,40
313,314.24,44
314,315.248,52
315,316.256,44
316,317.264,29
317,318.272,29
318,319.28,51
319,320.288,37
320,321.296,42
321,322.304,37
322,323.312,40
323,324.32,28
324,325.328,41
325,326.336,45
326,327.344,34
327,328.352,30
328,329.36,38
329,330.368,56
330,331.376,36
331,332.384,42
332,333.392,37
333,334.4,54
334,335.408,40
335,336.416,48
336,337.424,33
337,338.432,34
338,339.44,50
339,340.448,40
340,341.456,44
341,342.464,35
342,343.472,40
343,344.48,46
344,345.488,43
345,346.496,45
346,347.504,51
347,348.512,36
348,349.52,31
349,350.528,44
350,351.536,49
351,352.544,40
352,353.552,43
353,354.56,27
354,355.568,26
355,356.57599999999996,40
356,357.584,40
357,358.592,34
358,359.59999999999997,46
359,360.608,39
360,361.616,47
361,362.62399999999997,46
362,363.632,26
363,364.64,48
364,365.64799999999997,43
365,366.656,40
366,367.664,40
367,368.67199999999997,39
368,369.68,44
369,370.688,34
370,371.69599999999997,38
371,372.704,25
372,373.712,47
373,374.71999999999997,41
374,375.728,37
375,376.736,38
376,377.74399999999997,38
377,378.752,33
378,379.76,29
379,380.768,29
380,381.776,38
381,382.784,45
382,383.792,26
383,384.8,51
384,385.808,43
385,386.816,32
386,387.824,39
387,388.832,35
388,389.84,39
389,390.848,37
390,391.856,32
391,392.864,34
392,393.872,36
393,394.88,35
394,395.888,37
395,396.896,34
396,397.904,39
397,398.912,32
398,399.92,36
399,400.928,36
400,401.936,48
401,402.944,36
402,403.952,47
403,404.96,46
404,405.968,37
405,406.976,42
406,407.984,39
407,408.992,41
408,410.0,35
409,411.008,39
410,412.016,42
411,413.024,42
412,414.032,46
413,415.04,38
414,416.048,42
415,417.056,41
416,418.06399999999996,37
417,419.072,41
418,420.08,39
419,421.08799999999997,38
420,422.096,41
421,423.104,43
422,424.11199999999997,31
423,425.12,41
424,426.128,37
425,427.13599999999997,39
426,428.144,33
427,429.152,37
428,430.15999999999997,36
429,431.168,38
430,432.176,28
431,433.18399999999997,53
432,434.192,37
433,435.2,39
434,436.20799999999997,37
435,437.216,35
436,438.224,39
