W,fx0 (kHz),fy,omega,s1,s2,sT,D,function_to_minimize,,,
0.500,16.300,6.11,7.86,1.75,0.107362,,,,,,
3.000,16.300,43.83,50.22,6.39,0.392025,,,,,,
1.333,16.300,20.65,21.25,0.6,0.036810,,,,,,
1.750,16.300,24.64,25.12,0.48,0.029448,,,,,,
1.571,16.300,24.51,24.51,0,0.000000,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
resistance: 90kOhms,,Y amplitude: 1 V,,,,,,,,,
1.500,16.100,24.3,1.50931677,,,,,,,,
2.000,16.100,25.57,1.588198758,,,,,,,,
2.000,16.100,35.42,2.2,,,,,,,,
2.500,16.100,39.59,2.459006211,,,,,,,,
,16.100,,,0.078881988,0.259006,0.949689441,0.997042162,0.357451776,,,
resistance: 90kOhms,,Y amplitude: 0.2 V,,,,,,,,,
1.000,16.100,16.81,1.044099379,,,,,,,,
2.000,16.100,29.92,1.858385093,,,,,,,,
2.000,16.100,32.5,2.01863354,,,,,,,,
3.000,16.100,46.35,2.878881988,,,,,,,,
,16.100,,,0.814285714,0.860248,1.834782609,0.88346001,1.000000289,,,
,16.100,,,,,,,,,,
1.667,16.100,26.02,1.616149068,,,,,,,,
2.000,16.100,29.92,1.858385093,,,,,,,,
2.000,16.100,32.5,2.01863354,,,,,,,,
2.333,16.100,36.68,2.27826087,,,,,,,,
,,,,0.242236025,0.259627,0.662111801,0.714271974,0.999999552,,,
,,,,,,,,,,,
1.500,16.100,23.55,1.462732919,,,,,,,,
2.000,16.100,29.92,1.858385093,,,,,,,,
2.000,16.100,32.5,2.01863354,,,,,,,,
2.500,16.100,39.15,2.431677019,,,,,,,,
,16.100,,,0.395652174,0.413043,0.968944099,0.793093829,0.999999584,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,0.15,0.150000,0.54,0.541126641,0.999999752,,,
,,,,0.14,0.14,0.53,0.520680508,0.999999282,,,
,,,,0.14,0.14,0.55,0.506584529,0.9999998,,,
,,,,0.15,0.150000,0.53,0.549140051,0.999999702,,,
,,,,0.15,0.150000,0.55,0.533484533,0.999999805,,,
,,,,,,,,,,,
,,,,,,,,,,,
Input strength,,,,,,,,,,,
2.870,0.590,,,,,,,,,,
4.930,0.520,,,,,,,,,,
5.770,0.560,,,,,,,,,,
,,,,,,,,,,,
1.000,1.000,,,,,,,,,,
0.200,0.790,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
width of triplets,,,,,,,,,,,
1.000,0.880,,,,,,,,,,
0.333,0.710,,,,,,,,,,
0.500,0.790,,,,,,,,,,
