Reading no,start(keV),end(keV),net count,gross count,centroid,time (s),width (cm),comments,peak,net per unit time,,N_0,mu,,gross per unit time,N_0 gross,mu_gross,mu_m,mu_m_for_gross
2,590,740,553776,727362,689.845,924,0,,695.37,599.3246753,787.1883117,,,,,,,,
,600,740,561073,723776,690.317,924,,,695.37,607.2218615,783.3073593,,,,,,,,
,610,770,,,,924,,,695.37,0,0,,,,,,,,
,630,700,2239,435596,677.274,924,,,695.37,2.423160173,471.4242424,,,,,,,,
,,,,,,,,,,,,,,,,,,,
35,590,740,352,1918,653.384,721,3.8,,647.88,0.488210818,,682.899549,1.906147529,,2.660194175,792.267494,1.499079946,0.168090611,0.132193999
,600,740,586,1771,658.11,721,3.8,,647.88,0.812760055,,684.199774,1.772519426,,2.45631068,784.057562,1.517322583,0.156306828,0.133802697
,630,700,292,1121,660.816,721,3.8,,647.88,0.404993065,,125.606095,1.509747362,,1.554785021,780.214447,1.636377819,0.133134688,0.144301395
,,,,,,,,,,,,,,,,,,,
36,590,740,486,1381,652.475,505,3.8,,655.93,0.962376238,,682.899549,1.727553157,,2.734653465,792.267494,1.491815308,0.152341548,0.131553378
,600,740,592,1289,656.62,505,3.8,,655.93,1.172277228,,684.199774,1.676133163,,2.552475248,784.057562,1.507216505,0.147807157,0.132911508
,630,700,286,805,659.851,505,3.8,,655.93,0.566336634,,125.606095,1.421505535,,1.594059406,780.214447,1.629812929,0.125353222,0.143722481
,,,,,,,,,,,,,,,,,,,
37,590,740,3562,7188,650.685,690,composite,,655.01,5.162318841,,682.899549,,,10.4173913,,,,
,600,740,4121,6799,653.838,690,,,655.01,5.972463768,,684.199774,,,9.853623188,,,,
,630,700,2019,5001,660.434,690,,,655.01,2.926086957,,125.606095,,,7.247826087,,,,
,,,,,,,,,,,,,,,,,,,
38,590,740,6091,10442,653.805,1133,composite,,659.98,5.375992939,,682.899549,,,9.216240071,,,,
,600,740,5274,9895,656,1133,,,659.98,4.6548985,,684.199774,,,8.733451015,,,,
,630,700,3216,7253,662.379,1133,,,659.98,2.838481906,,125.606095,,,6.401588703,,,,
,,,,,,,,,,,,,,,,,,,
