Reading no,start(keV),end(keV),net count,gross count,centroid,time,width,comments,peak,net per unit time,net per unit gross,N_0,mu,,gross per unit time,N_0 gross,mu_gross,mu_m,mu_m_for_gross,,mu_m_net avg,mu_m_gross_avg,mu_m_net sd,mu_m_gross_sd,
No barrier,,,,,,,,,,,,,,,,,,,,,,,,,
,600,740,82037,55528,670.315,232,0.9,,674,353.6077586,,683.162,0.731715768,,239.3448276,780.214447,1.312960337,0.27100584,0.486281606,,,,,,
,630,700,34368,75319,669,232,0.9,,674,148.137931,,674.414,1.684112643,,324.6508621,553.976298,0.593746586,0.623745423,0.219906143,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
15,590,740,17300,20676,668.7,140,2,,675,123.5714286,,682.899549,0.854764784,,147.6857143,784.057562,0.834698549,0.31657955,0.309147611,,,,,,
,600,740,16989,20280,670,140,2,,675,121.35,,683.162,0.864027125,,144.8571429,780.214447,0.841910956,0.320010046,0.311818872,,,,,,
,630,700,7291,16.253,669,140,2,,675,52.07857143,,674.414,1.280546161,,0.116092857,553.976298,4.235246258,0.474276356,1.568609725,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,590,740,16405,20156,669.4,133,2,,675,123.3458647,,682.899549,0.855678305,,151.5488722,784.057562,0.821787691,0.316917891,0.304365812,,,,,,
,600,740,16346,19777,670.8,133,2,,675,122.9022556,,683.162,0.857671902,,148.6992481,780.214447,0.828822066,0.31765626,0.306971136,,,,,,
,630,700,6500,15636,669.35,133,2,,675,48.87218045,,674.414,1.312318802,,117.5639098,553.976298,0.775070423,0.486044001,0.28706312,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
17,590,740,15897,20322,669,247,3.2,,677,64.36032389,,682.899549,0.738078753,,82.27530364,784.057562,0.704504053,0.273362501,0.260927427,,,,,,
,600,740,15853,19844,670.84,247,3.2,,677,64.18218623,,683.162,0.739064972,,80.34008097,780.214447,0.710406783,0.273727768,0.263113623,,,,,,
,630,700,5594,15151,670,247,3.2,,677,22.64777328,,674.414,1.060557785,,61.34008097,553.976298,0.687715595,0.39279918,0.25470948,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
18,590,740,8463,10714,669.39,132,3.2,,677,64.11363636,,682.899549,0.739278841,,81.16666667,784.057562,0.708743534,0.273806978,0.262497605,,,,,,
,600,740,8696,10447,671.28,132,3.2,,677,65.87878788,,683.162,0.73091159,,79.14393939,780.214447,0.715094419,0.270707996,0.264849785,,,,,,
,630,700,2511,7901,669.97,132,3.2,,677,19.02272727,,674.414,1.11506629,,59.85606061,553.976298,0.695368972,0.412987515,0.257544064,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
19,590,740,4633,6209,667.6,133,4.5,,681,34.83458647,,682.899549,0.661275338,,46.68421053,784.057562,0.626906296,0.244916792,0.232187517,,,,,,
,600,740,4549,6018,669.88,133,4.5,,681,34.20300752,,683.162,0.665426768,,45.2481203,780.214447,0.632757689,0.246454358,0.2343547,,,,,,
,630,700,1522,4568,669.36,133,4.5,,681,11.44360902,,674.414,0.905870111,,34.34586466,553.976298,0.617920478,0.335507448,0.228859436,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
20,590,740,6215,7941,668.353,166,4.5,,678,37.43975904,,682.899549,0.645248114,,47.8373494,784.057562,0.621483915,0.238980783,0.230179228,,,,,,
,600,740,6255,7726,670.425,166,4.5,,678,37.68072289,,683.162,0.643907852,,46.54216867,780.214447,0.626491546,0.23848439,0.232033906,,,,,,
,630,700,1510,5746,670,166,4.5,,678,9.096385542,,674.414,0.956882205,,34.61445783,553.976298,0.616189404,0.354400817,0.228218298,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,590,740,1508,2550,665.849,96,6.1,,679.16,15.70833333,,682.899549,0.618386714,,26.5625,784.057562,0.554915454,0.229032116,0.205524242,,,,,,
,600,740,1588,2423,669.434,96,6.1,,679.16,16.54166667,,683.162,0.60997575,,25.23958333,780.214447,0.562484851,0.225916944,0.208327723,,,,,,
,630,700,651,1759,668.456,96,6.1,,679.16,6.78125,,674.414,0.754046854,,18.32291667,553.976298,0.55884781,0.279276613,0.20698067,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22,590,740,2587,3482,652.764,154,6.1,,,16.7987013,,682.899549,0.607385031,,22.61038961,784.057562,0.581323821,0.224957419,0.215305119,,,,,,
,600,740,2298,3339,655.235,154,6.1,,,14.92207792,,683.162,0.626867662,,21.68181818,780.214447,0.587392981,0.232173208,0.217552956,,,,,,
,630,700,1104,2520,661.249,154,6.1,,,7.168831169,,674.414,0.74493518,,16.36363636,553.976298,0.577387327,0.275901919,0.213847158,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
23,590,740,2053,3175,652.015,231,7.3,,,8.887445887,,682.899549,0.59475493,,13.74458874,784.057562,0.553950679,0.220279604,0.205166918,,,,,,
